CIK,Ticker,Date,Type,MDA_state
0000001750,AIR,1994-01-13 00:00:00,10-Q,Cannot find item number of MDA in table of contents
0000001750,AIR,1994-04-14 00:00:00,10-Q,Cannot find item number of MDA in table of contents
0000001750,AIR,1994-08-24 00:00:00,10-K,Successful
0000001750,AIR,1994-10-14 00:00:00,10-Q,Cannot find item number of MDA in table of contents
0000001750,AIR,1995-01-13 00:00:00,10-Q,Cannot find item number of MDA in table of contents
0000001750,AIR,1995-04-14 00:00:00,10-Q,Cannot find item number of MDA in table of contents
0000001750,AIR,1995-08-11 00:00:00,10-K,Successful
0000001750,AIR,1995-10-10 00:00:00,10-Q,Successful
0000001750,AIR,1996-01-16 00:00:00,10-Q,Successful
0000001750,AIR,1996-04-10 00:00:00,10-Q,Successful
0000001750,AIR,1996-08-20 00:00:00,10-K405,Successful
0000001750,AIR,1996-10-09 00:00:00,10-Q,Successful
0000001750,AIR,1997-01-13 00:00:00,10-Q,Successful
0000001750,AIR,1997-04-11 00:00:00,10-Q,Successful
0000001750,AIR,1997-08-22 00:00:00,10-K405,Successful
0000001750,AIR,1997-10-08 00:00:00,10-Q,Successful
0000001750,AIR,1998-01-13 00:00:00,10-Q,Successful
0000001750,AIR,1998-04-13 00:00:00,10-Q,Successful
0000001750,AIR,1998-08-20 00:00:00,10-K405,Successful
0000001750,AIR,1998-10-13 00:00:00,10-Q,Successful
0000001750,AIR,1999-01-13 00:00:00,10-Q,Successful
0000001750,AIR,1999-04-14 00:00:00,10-Q,Successful
0000001750,AIR,1999-08-18 00:00:00,10-K405,Successful
0000001750,AIR,1999-10-15 00:00:00,10-Q,Successful
0000001750,AIR,2000-01-14 00:00:00,10-Q,Successful
0000001750,AIR,2000-04-14 00:00:00,10-Q/A,Successful
0000001750,AIR,2000-04-14 00:00:00,10-Q/A,Successful
0000001750,AIR,2000-04-14 00:00:00,10-Q,Successful
0000001750,AIR,2000-08-24 00:00:00,10-K405,Successful
0000001750,AIR,2000-10-13 00:00:00,10-Q,Successful
0000001750,AIR,2001-01-12 00:00:00,10-Q,Successful
0000001750,AIR,2001-04-13 00:00:00,10-Q,Successful
0000001750,AIR,2001-08-27 00:00:00,10-K405,Successful
0000001750,AIR,2001-10-15 00:00:00,10-Q,"MDA ending pattern found in table of contents, but ending pattern ITEM 3 Cannot be found in main body"
0000001750,AIR,2002-01-14 00:00:00,10-Q,Successful
0000001750,AIR,2002-04-15 00:00:00,10-Q,Successful
0000001750,AIR,2002-08-26 00:00:00,10-K,Successful
0000001750,AIR,2002-10-15 00:00:00,10-Q,Successful
0000001750,AIR,2003-01-13 00:00:00,10-Q,Successful
0000001750,AIR,2003-04-14 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2003-08-18 00:00:00,10-K,Successful
0000001750,AIR,2003-10-14 00:00:00,10-Q,Successful
0000001750,AIR,2004-01-14 00:00:00,10-Q,Successful
0000001750,AIR,2004-04-08 00:00:00,10-Q,Successful
0000001750,AIR,2004-07-22 00:00:00,10-K,Successful
0000001750,AIR,2004-10-01 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 1 in main body
0000001750,AIR,2005-01-05 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 1 in main body
0000001750,AIR,2005-04-06 00:00:00,10-Q,Successful
0000001750,AIR,2005-07-22 00:00:00,10-K,Successful
0000001750,AIR,2005-10-05 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2006-01-06 00:00:00,10-Q,Successful
0000001750,AIR,2006-04-06 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2006-07-17 00:00:00,10-K,Successful
0000001750,AIR,2006-10-05 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2007-01-09 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2007-04-04 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2007-07-20 00:00:00,10-K,Successful
0000001750,AIR,2007-10-05 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2008-01-08 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2008-04-04 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2008-07-11 00:00:00,10-K,Successful
0000001750,AIR,2008-09-23 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2008-12-23 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2009-03-23 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2009-07-16 00:00:00,10-K,Successful
0000001750,AIR,2009-09-25 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2009-12-21 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2010-03-19 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2010-07-16 00:00:00,10-K,Successful
0000001750,AIR,2010-09-23 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2010-12-21 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2011-03-22 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2011-07-13 00:00:00,10-K,Successful
0000001750,AIR,2011-09-23 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2011-12-22 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2012-03-26 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2012-07-19 00:00:00,10-K,Successful
0000001750,AIR,2012-09-25 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2012-12-21 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
0000001750,AIR,2013-03-22 00:00:00,10-Q,Cannot find MDA beginning pattern ITEM 2 in main body
