CIK,Ticker,Date,Type,Address
0000868725,RTK,1996-05-14 00:00:00,10QSB,edgar/data/868725/0000899246-96-000012.txt
0000868725,RTK,1996-08-08 00:00:00,10QSB,edgar/data/868725/0000899246-96-000016.txt
0000868725,RTK,1996-09-09 00:00:00,10KSB/A,edgar/data/868725/0000899246-96-000020.txt
0000868725,RTK,1996-11-06 00:00:00,10QSB,edgar/data/868725/0000899246-96-000025.txt
0000868725,RTK,1997-01-15 00:00:00,10KSB,edgar/data/868725/0000899246-97-000002.txt
0000868725,RTK,1997-02-14 00:00:00,10QSB,edgar/data/868725/0000899246-97-000006.txt
0000868725,RTK,1997-04-28 00:00:00,10QSB/A,edgar/data/868725/0000899246-97-000037.txt
0000868725,RTK,1997-05-15 00:00:00,10QSB,edgar/data/868725/0000899246-97-000041.txt
0000868725,RTK,1997-08-13 00:00:00,10-Q,edgar/data/868725/0000899246-97-000043.txt
0000868725,RTK,1997-09-09 00:00:00,10QSB/A,edgar/data/868725/0000899246-97-000049.txt
0000868725,RTK,1997-10-31 00:00:00,10KSB/A,edgar/data/868725/0000899246-97-000053.txt
0000868725,RTK,1997-10-31 00:00:00,10QSB/A,edgar/data/868725/0000899246-97-000054.txt
0000868725,RTK,1997-12-03 00:00:00,10KSB/A,edgar/data/868725/0000899246-97-000059.txt
0000868725,RTK,1997-12-29 00:00:00,10KSB,edgar/data/868725/0000899246-97-000061.txt
0000868725,RTK,1998-01-15 00:00:00,10KSB/A,edgar/data/868725/0000899246-98-000001.txt
0000868725,RTK,1998-02-17 00:00:00,10QSB,edgar/data/868725/0000899246-98-000009.txt
0000868725,RTK,1998-05-15 00:00:00,10QSB,edgar/data/868725/0000899246-98-000015.txt
0000868725,RTK,1998-06-02 00:00:00,10QSB/A,edgar/data/868725/0000899246-98-000020.txt
0000868725,RTK,1998-07-02 00:00:00,10QSB/A,edgar/data/868725/0000899246-98-000022.txt
0000868725,RTK,1998-07-10 00:00:00,10QSB/A,edgar/data/868725/0000899246-98-000024.txt
0000868725,RTK,1998-08-12 00:00:00,10QSB,edgar/data/868725/0001047469-98-030655.txt
0000868725,RTK,1999-01-13 00:00:00,10KSB,edgar/data/868725/0001047469-99-001066.txt
0000868725,RTK,1999-02-16 00:00:00,10QSB,edgar/data/868725/0001047469-99-005712.txt
0000868725,RTK,1999-05-17 00:00:00,10QSB,edgar/data/868725/0001047469-99-021125.txt
0000868725,RTK,1999-08-16 00:00:00,10QSB,edgar/data/868725/0001047469-99-032231.txt
0000868725,RTK,2000-01-12 00:00:00,10KSB,edgar/data/868725/0000950134-00-000237.txt
0000868725,RTK,2000-02-14 00:00:00,10QSB,edgar/data/868725/0001035704-00-000085.txt
0000868725,RTK,2000-05-15 00:00:00,10QSB,edgar/data/868725/0000950134-00-004606.txt
0000868725,RTK,2000-08-11 00:00:00,10QSB,edgar/data/868725/0000950134-00-006817.txt
0000868725,RTK,2000-12-28 00:00:00,10-K,edgar/data/868725/0000950134-00-010774.txt
0000868725,RTK,2001-02-14 00:00:00,10-Q,edgar/data/868725/0001035704-01-000083.txt
0000868725,RTK,2001-05-04 00:00:00,10-Q,edgar/data/868725/0001035704-01-500067.txt
0000868725,RTK,2001-07-23 00:00:00,10-Q,edgar/data/868725/0001035704-01-500257.txt
0000868725,RTK,2001-12-28 00:00:00,10-K,edgar/data/868725/0001010549-01-500641.txt
0000868725,RTK,2002-02-14 00:00:00,10-Q,edgar/data/868725/0001010549-02-000081.txt
0000868725,RTK,2002-05-15 00:00:00,10QSB,edgar/data/868725/0001010549-02-000294.txt
0000868725,RTK,2002-08-14 00:00:00,10-Q,edgar/data/868725/0001010549-02-000484.txt
0000868725,RTK,2002-10-23 00:00:00,10-K/A,edgar/data/868725/0001010549-02-000608.txt
0000868725,RTK,2002-10-23 00:00:00,10-Q/A,edgar/data/868725/0001010549-02-000609.txt
0000868725,RTK,2002-10-23 00:00:00,10-Q/A,edgar/data/868725/0001010549-02-000610.txt
0000868725,RTK,2002-10-23 00:00:00,10-Q/A,edgar/data/868725/0001010549-02-000611.txt
0000868725,RTK,2002-12-24 00:00:00,10-K,edgar/data/868725/0001010549-02-000740.txt
0000868725,RTK,2002-12-26 00:00:00,10-K/A,edgar/data/868725/0001010549-02-000745.txt
0000868725,RTK,2003-02-14 00:00:00,10-Q,edgar/data/868725/0001021408-03-002937.txt
0000868725,RTK,2003-05-14 00:00:00,10-Q,edgar/data/868725/0001045969-03-001556.txt
0000868725,RTK,2003-08-14 00:00:00,10-Q,edgar/data/868725/0001193125-03-037574.txt
0000868725,RTK,2003-12-29 00:00:00,10-K,edgar/data/868725/0001193125-03-099701.txt
0000868725,RTK,2004-02-13 00:00:00,10-Q,edgar/data/868725/0001193125-04-023292.txt
0000868725,RTK,2004-05-14 00:00:00,10-Q,edgar/data/868725/0001193125-04-088514.txt
0000868725,RTK,2004-08-04 00:00:00,10-Q,edgar/data/868725/0001104659-04-022075.txt
0000868725,RTK,2004-12-09 00:00:00,10-K,edgar/data/868725/0001193125-04-210276.txt
0000868725,RTK,2005-02-09 00:00:00,10-Q,edgar/data/868725/0001193125-05-023414.txt
0000868725,RTK,2005-05-09 00:00:00,10-Q,edgar/data/868725/0001193125-05-100854.txt
